id,make_id,name,generation,first,last
1,1,80,B1,1972,1978
2,1,80,B2,1979,1986
3,1,80,B3,1987,1991
4,1,80,B4,1992,1996
5,1,90,B1,1972,1978
6,1,90,B2,1979,1986
7,1,90,B3,1987,1991
8,1,90,B4,1992,1996
9,1,4000,B1,1972,1978
10,1,4000,B2,1979,1986
11,1,4000,B3,1987,1991
12,1,4000,B4,1992,1996
13,1,100,C1,1968,1976
14,1,100,C2,1977,1982
15,1,100,C3,1983,1991
16,1,100,C4,1992,1994
17,1,200,C2,1980,1982
18,1,200,C3,1983,1991
19,1,5000,C2,1978,1982
20,1,5000,C3,1983,1988
21,1,Coupe,B2,1980,1988
22,1,Coupe,B3,1989,1991
23,1,Cabriolet,B3,1992,2000
24,1,A3,8P,2003,2012
25,1,A3,8V,2013,2021
26,1,A4,B5,1994,2001
27,1,A4,B6,2002,2006
28,1,A4,B7,2007,2009
29,1,A4,B8,2010,2016
30,1,A4,B9,2017,2021
31,1,A5,B8,2007,2016
32,1,A5,B9,2017,2021
33,1,A6,C4,1994,1997
34,1,A6,C5,1998,2004
35,1,A6,C6,2005,2011
36,1,A6,C7,2012,2018
37,1,A6,C8,2019,2021
38,1,A7,C7,2010,2018
39,1,A7,C8,2019,2021
40,1,A8,D2,1994,2002
41,1,A8,D3,2003,2009
42,1,A8,D4,2010,2017
43,1,A8,D5,2018,2021
44,1,S3,8P,2006,2013
45,1,S3,8V,2014,2021
46,1,S4,C4,1991,1994
47,1,S4,B5,1997,2002
48,1,S4,B6,2003,2005
49,1,S4,B7,2006,2009
50,1,S4,B8,2010,2016
51,1,S4,B9,2017,2021
52,1,S5,B8,2007,2016
53,1,S5,B9,2017,2021
54,1,S6,C4,1994,1997
55,1,S6,C5,1999,2003
56,1,S6,C6,2006,2011
57,1,S6,C7,2012,2018
58,1,S6,C8,2019,2021
59,1,S7,C7,2012,2017
60,1,S7,C8,2019,2021
61,1,S8,D2,1996,2003
62,1,S8,D3,2006,2010
63,1,S8,D4,2012,2018
64,1,S8,D5,2019,2021
65,1,RS3,8P,2011,2012
66,1,RS3,8V,2015,2021
67,1,RS4,B5,1999,2001
68,1,RS4,B7,2006,2008
69,1,RS4,B8,2012,2015
70,1,RS4,B9,2017,2021
71,1,RS5,B8,2010,2015
72,1,RS5,B9,2017,2021
73,1,RS6,C5,2002,2004
74,1,RS6,C6,2008,2010
75,1,RS6,C7,2013,2018
76,1,RS6,C8,2019,2021
77,1,RS7,C7,2013,2018
78,1,RS7,C8,2019,2021
79,1,R8,MK1,2006,2015
80,1,R8,Mk2,2016,2021
81,1,Q3,8U,2011,2018
82,1,Q3,F3,2019,2021
83,1,Q5,B8,2008,2017
84,1,Q5,B9,2018,2021
85,1,Q7,4L,2005,2015
86,1,Q7,4M,2016,2021
87,1,Q8,4M,2018,2021
88,1,SQ5,B8,2013,2017
89,1,SQ5,B9,2018,2021
90,1,SQ7,4L,2005,2015
91,1,SQ7,4M,2016,2021
92,1,SQ8,4M,2019,2021
93,1,RS Q8,4M,2020,2021
94,1,TT,MK1,1998,2006
95,1,TT,MK2,2007,2014
96,1,TT,MK3,2015,2021
97,1,TTS,MK2,2009,2014
98,1,TTS,MK3,2015,2021
99,1,TTRS,MK2,2010,2014
100,1,TTRS,MK3,2015,2021
101,1,A4 Allroad,B8,2010,2016
102,1,A4 Allroad,B9,2017,2021
103,1,A6 Allroad,C5,1998,2004
104,1,A6 Allroad,C8,2019,2021
105,2,128i,E8X,2004,2013
106,2,135i,E8X,2004,2013
107,2,228i,F2X,2014,2021
108,2,228i xDrive,F2X,2014,2021
109,2,230i,F2X,2014,2021
110,2,230i xDrive,F2X,2014,2021
111,2,M235i,F2X,2014,2021
112,2,M235i xDrive,F2X,2014,2021
113,2,M240i,F2X,2014,2021
114,2,M240i xDrive,F2X,2014,2021
115,2,228i,F44,2019,2021
116,2,228i xDrive,F44,2019,2021
117,2,M235i xDrive,F44,2019,2021
118,2,318i,E21,1975,1983
119,2,320i,E21,1975,1983
120,2,318i,E30,1984,1991
121,2,318is,E30,1991,1991
122,2,325e,E30,1985,1988
123,2,325es,E30,1985,1988
124,2,325i,E30,1985,1991
125,2,325is,E30,1985,1991
