id,name,cat_id
1,Air Filter,1
2,Air Intake,1
3,Blow Off Valve,1
4,Charge Pipe,1
5,Diverter Valve,1
6,Emissions,1
7,Filter Housing,1
8,Idle Control Valve (ICV),1
9,Intake Manifold,1
10,Intercooler,1
11,Mass Air Flow Sensor (MAF),1
12,Plumbing,1
13,Pressure Control Valve (PCV),1
14,Pumps,1
15,Throttle Body,1
16,Vacuum System,1
17,Assembly,2
18,Crossmember,2
19,Differential,2
20,Electrical,2
21,Filter,2
22,Flexplate,2
23,Fluid,2
24,Gaskets,2
25,Hardware,2
26,Input Shaft,2
27,Mount,2
28,Oil Cooler,2
29,Oil Pan,2
30,Output Shaft,2
31,Plug,2
32,Pump,2
33,Seal,2
34,Service,2
35,Shifter,2
36,Software,2
37,Tools,2
38,Torque Converter,2
39,Valve Body,2
40,ABS Sensor,3
41,Brake Booster,3
42,Brake Caliper,3
43,Brake Line,3
44,Brake Pad,3
45,Brake Rotor,3
46,Compound,3
47,Drum Brakes,3
48,Electrical,3
49,Fluid,3
50,Hardware,3
51,Master Cylinder,3
52,Parking Brake,3
53,Performance,3
54,Rotor and Pad Kit,3
55,Tools,3
56,AC Compressor,4
57,AC Condenser,4
58,AC Evaporator,4
59,AC Valve,4
60,AC Plumbing,4
61,Blower Motor,4
62,Cabin Filter,4
63,Control Panel,4
64,Electrical,4
65,General,4
66,Blend Door,4
67,Heater Core,4
68,Heater Hose,4
69,Receiver-Drier,4
70,Coolant,5
71,Cooling Fan,5
72,Expansion Tank,5
73,Kits,5
74,Performance,5
75,Plumbing,5
76,Radiator,5
77,Sensor,5
78,Thermostat,5
79,Tools,5
80,Water Pump,5
81,Axle,6
82,CV,6
83,Differential,6
84,Driveshaft,6
85,Flywheel,6
86,Gear Oil,6
87,Mount,6
88,Tools,6
89,Wheel Bearing,6
90,Alternator,7
91,Battery,7
92,Belt,7
93,Block,7
94,Camshaft,7
95,Connecting Rod,7
96,Cover,7
97,Crankcase,7
98,Crankshaft,7
99,Cylinder Head,7
100,Engine Control Unit (ECU),7
101,Electrical,7
102,Emissions,7
103,Fuel Rail,7
104,Gaskets,7
105,Ignition,7
106,Mount,7
107,Nitrous,7
108,Oil,7
109,Oiling System,7
110,Oil Catch Can,7
111,Oil Cooler,7
112,Oil Filter,7
113,Oil Pan,7
114,Performance,7
115,Piston,7
116,Pressure Control Valve (PCV),7
117,Pulley,7
118,Rocker,7
119,Seals,7
120,Sensor,7
121,Service Kit,7
122,Spark Plug,7
123,Starter,7
124,Supercharger,7
125,Timing,7
126,Tools,7
127,Tuning,7
128,Turbocharger,7
129,Vacuum,7
130,Valve Cover,7
131,Valves & Springs,7
132,Catalytic Converter,8
133,Cat-back Exhaust,8
134,Downpipes,8
135,EGR,8
136,Exhaust Tips,8
137,Gaskets,8
138,Headers,8
139,Muffler,8
140,OE,8
141,Oxygen(O2) Sensor,8
142,Performance,8
143,Resonator & Mid-Pipe,8
144,Tools,8
145,Universal,8
146,Alarm,9
147,Antenna,9
148,Body,9
149,Convertible Top,9
150,Decal,9
151,Door,9
152,Electrical,9
153,Emblem,9
154,Fender,9
155,Front Bumper,9
156,Fuel Door,9
157,Grille,9
158,Hitch,9
159,Hood,9
160,Horn,9
161,Jack Pad,9
162,License Plate,9
163,Mirror,9
164,Paint,9
165,Plug,9
166,Rain Tray,9
167,Rear Bumper,9
168,Roof,9
169,Roof Rack,9
170,Side Skirts,9
171,Splash Guard,9
172,Spoiler,9
173,Sunroof,9
174,Tools,9
175,Trim,9
176,Trunk or Hatch,9
177,Undercoating,9
178,Undertray,9
179,Vinyl,9
180,Window,9
181,Windshield,9
182,Wiper,9
183,Fuel Additive,10
